Kolumna1,ID,lp,ekspot,kategorie,start_min,start_s,stop_min,stop_s,czas_w_sek,czas_w_min,Z_KIM,X1_OSTOW,X2_OSTOW,X3_OSTOW,X4_OSTOW,X5_OSTOW,X6_OSTOW,X7_OSTOW,X8_OSTOW,X9_OSTOW,ILE_OSTOW,zach,opis,animator,uwagi,os_3,os_3_e,os_2,os_2_e
5695,1006,5829,GORĄCY BALON,2,46,52,48,24,92,1.53,"1021, 1012, D, D1",1021,1012,D,D1,,,,,,4,1,,,,3,z 3 lub więcej osobami,2,z innymi
5696,1006,5830,PIRUETY,2,50,20,50,34,14,0.23,,,,,,,,,,,0,2,,,,1,sam/a,1,sam/a
5697,1006,5831,OBROTOWY STOLIK,2,50,39,51,32,53,0.88,"1012, 1021, 0902, D",1012,1021,902,D,,,,,,4,2,1,,,3,z 3 lub więcej osobami,2,z innymi
5698,1006,5832,BICZE WODNE,2,51,36,51,59,23,0.38,"1012, D",1012,D,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5699,1006,5833,STROBOSKOPOWY SZNUREK,2,52,3,53,5,62,1.03,"1012, D, D1",1012,D,D1,,,,,,,3,3,,,,3,z 3 lub więcej osobami,2,z innymi
5700,1006,5834,CHWIEJNY WALEC,2,53,10,54,10,60,1,"1021, 1012, D, D1",1021,1012,D,D1,,,,,,4,2,,1,,3,z 3 lub więcej osobami,2,z innymi
5701,1006,5835,STROBOSKOPOWY SZNUREK,2,54,12,59,22,310,5.17,"1021, 1012, D, D1",1021,1012,D,D1,,,,,,4,3,,1,A,3,z 3 lub więcej osobami,2,z innymi
5702,1006,5836,TWN,3,61,0,79,0,1080,18,,,,,,,,,,,0,,,,,1,sam/a,1,sam/a
5703,1006,5837,NIESFOR WALIZKA,2,80,1,81,42,101,1.68,"1021, 1018, D, 1008, 1012",1021,1018,D,1008,1012,,,,,5,3,,,,3,z 3 lub więcej osobami,2,z innymi
5704,1006,5838,MAGNETYCZNY MOST,2,82,10,82,15,5,0.08,D,D,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
5705,1006,5839,TORDO OGNIA,2,82,36,82,59,23,0.38,"1012, D",1012,D,,,,,,,,2,2,,,,3,z 3 lub więcej osobami,2,z innymi
5706,1006,5840,MAGNETYCZNY MOST,2,83,2,83,42,40,0.67,D,D,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
5707,1006,5841,DOMOWA ELEKTROWNIA,2,83,52,84,30,38,0.63,"1012, 1021, 1018, 1008, 1011, D, D1, D2",1012,1021,1018,1008,1011,,,,,5,2,,,,3,z 3 lub więcej osobami,2,z innymi
5708,1006,5842,MŁYŃSKIE KOŁO,2,84,42,85,15,33,0.55,"0112, 1021",112,1021,,,,,,,,2,3,,,,3,z 3 lub więcej osobami,2,z innymi
5709,1006,5843,POWIETRZ ARMATA,2,85,22,85,33,11,0.18,D,D,,,,,,,,,1,2,,,,2,z inną osobą,2,z innymi
